episode,timestep,reward
2181,658000,-310.6582
2190,659000,-254.2623
2199,660000,-138.3631
2206,661000,-407.7592
2212,662000,-707.1865
2220,663000,-256.349
2230,664000,-94.2391
2237,665000,-385.2275
2244,666000,-65.8352
2250,667000,-561.6756
2257,668000,-335.2586
2266,669000,-77.4794
2275,670000,-81.1478
2283,671000,-312.9966
2291,672000,-64.3954
2298,673000,-525.5187
2303,674000,-617.5628
2311,675000,-199.8691
2319,676000,-318.3654
2326,677000,-183.0512
2334,678000,-447.3134
2343,679000,-180.2565
2352,680000,-230.262
2361,681000,-109.3779
2369,682000,-227.776
2377,683000,-294.5346
2388,684000,-110.7499
2395,685000,-86.7839
2405,686000,-192.6208
2409,687000,-886.199
2416,688000,-708.7257
2424,689000,-234.886
2434,690000,-108.9865
2440,691000,-386.0599
2448,692000,-304.358
2455,693000,-385.5581
2463,694000,-194.3715
2473,695000,-202.3446
2481,696000,-201.4476
2487,697000,-308.3708
2492,698000,-769.4885
2499,699000,-583.5171
2507,700000,-256.6939
2513,701000,-560.2339
2519,702000,-407.7517
2525,703000,-566.7489
2536,704000,-135.082
2541,705000,-512.5154
2549,706000,-326.7815
2554,707000,-936.2999
2560,708000,-468.6744
2569,709000,-112.5247
2577,710000,-162.127
2587,711000,-187.9951
2595,712000,-317.0543
2602,713000,-410.2249
2608,714000,-305.5442
2616,715000,-474.6192
2624,716000,-156.2861
2633,717000,-109.329
2639,718000,6.3205
2651,719000,-237.9379
2660,720000,-93.7167
2668,721000,-216.9501
2678,722000,-153.0388
2686,723000,-285.787
2696,724000,-69.6407
2704,725000,-162.4842
2710,726000,-660.8559
2721,727000,3.2007
2732,728000,-118.7703
2742,729000,-77.413
2752,730000,-223.7128
2760,731000,-235.1384
2768,732000,-180.1915
2776,733000,-185.8189
2786,734000,-65.456
2796,735000,-11.7376
2804,736000,-281.5268
2813,737000,-20.9236
2823,738000,-122.6248
2831,739000,-296.0386
2840,740000,-236.1171
2849,741000,-204.5249
2855,742000,-206.4348
2865,743000,-151.9884
2874,744000,-118.9449
2884,745000,-80.9782
2893,746000,-183.2909
2904,747000,-91.7622
2913,748000,-31.2596
2923,749000,-172.7947
2932,750000,-51.2594
2943,751000,-76.5509
2954,752000,-18.1077
2963,753000,-118.1491
2972,754000,-101.1942
2983,755000,31.7539
2992,756000,-278.2179
3002,757000,-21.4974
3013,758000,80.3511
3023,759000,-69.958
3032,760000,14.2673
3044,761000,127.5351
3053,762000,-57.0421
3064,763000,127.2244
3074,764000,-68.9687
3080,765000,-487.8077
3089,766000,-91.795
3098,767000,-173.7641
3108,768000,-100.7725
3118,769000,-114.835
3126,770000,-188.5321
3134,771000,-156.6159
3144,772000,2.0377
3153,773000,-130.8062
3164,774000,59.3522
3172,775000,-145.049
3182,776000,-246.1774
3192,777000,-147.8389
3203,778000,-5.7447
3215,779000,92.5415
3225,780000,-113.6035
3235,781000,-56.3566
3248,782000,121.1504
3259,783000,43.1136
3267,784000,-24.1967
3275,785000,-246.3199
3285,786000,53.2989
3293,787000,-327.5111
3306,788000,11.2857
3314,789000,-178.4135
3324,790000,-80.5702
3332,791000,-266.3517
3341,792000,-80.8251
3351,793000,-48.5069
3361,794000,-81.8226
3370,795000,-169.5156
3382,796000,-38.6308
3394,797000,32.0863
3404,798000,85.4712
3411,799000,-522.2131
3420,800000,-126.839
3430,801000,-30.1173
3441,802000,-20.8555
3452,803000,-16.8013
3465,804000,82.4111
3474,805000,52.1924
3486,806000,22.2962
3499,807000,41.9294
3510,808000,37.562
3521,809000,-48.2797
3533,810000,-40.9713
3542,811000,-26.0876
3552,812000,-23.4517
3564,813000,80.8917
3573,814000,-53.1658
3583,815000,49.8996
3594,816000,-79.4594
3606,817000,56.4303
3617,818000,23.54
3627,819000,-26.5641
3637,820000,-208.6412
3645,821000,-104.1378
3659,822000,9.4836
3671,823000,7.9006
3683,824000,79.1365
3693,825000,39.5267
3704,826000,12.1877
3715,827000,-2.3778
3728,828000,73.4162
3739,829000,139.2731
3751,830000,41.9252
3763,831000,122.971
3773,832000,0.3008
3785,833000,32.9292
3794,834000,-140.7429
3806,835000,84.5931
3816,836000,-37.3919
3828,837000,-85.3437
3840,838000,26.4904
